Mesh_id,Link_id,Locptid,Loctabcode,Locdir,Dir
514575,86404510,1,32,+,1
514575,86404511,1,32,+,1
514575,2200998,2,32,+,1
514575,2200951,3,32,+,1
514575,86753046,4,32,+,1
514575,86753047,4,32,+,1
514575,16078795,4,32,+,1
514575,16078796,4,32,+,1
514575,2200959,4,32,+,1
514576,938535,4,32,+,1
514576,938536,4,32,+,1
514576,938531,4,32,+,1
514566,1384049,4,32,+,1
514566,1384053,4,32,+,1
514575,86404924,5,32,+,1
514575,88262986,5,32,+,1
514575,88262987,5,32,+,1
514575,86404923,5,32,+,1
514575,86404921,5,32,+,1
514575,86404919,5,32,+,1
514575,86404917,5,32,+,1
514575,86404915,5,32,+,1
514575,86404913,5,32,+,1
514575,86404911,5,32,+,1
514575,86404909,5,32,+,1
514575,91880189,5,32,+,1
514575,91880190,5,32,+,1
514575,86404519,5,32,+,1
514575,86404520,5,32,+,1
514575,86404515,5,32,+,1
514565,91879879,6,32,+,1
514565,91879880,6,32,+,1
514565,16473931,7,32,+,1
514565,16222048,8,32,+,1
514565,16222046,8,32,+,1
514565,16222044,8,32,+,1
514565,16222042,8,32,+,1
514565,16222040,8,32,+,1
514565,16222038,8,32,+,1
514565,16222036,8,32,+,1
514565,16222034,8,32,+,1
514565,16222032,8,32,+,1
514565,16222030,8,32,+,1
514565,16222031,8,32,+,1
514565,16222033,8,32,+,1
514565,16222055,8,32,+,1
514565,16222056,8,32,+,1
514565,16222037,8,32,+,1
514565,16222039,8,32,+,1
514565,16222041,8,32,+,1
514565,16222043,8,32,+,1
514565,16222045,8,32,+,1
514565,16222047,8,32,+,1
514565,16222049,8,32,+,1
514565,1637566,8,32,+,1
514565,1632808,9,32,+,1
514565,1634415,9,32,+,1
514565,86230146,9,32,+,1
514565,86230150,9,32,+,1
514565,86230151,9,32,+,1
514565,86454598,9,32,+,1
514565,86454599,9,32,+,1
514565,86230141,9,32,+,1
514565,1639088,9,32,+,1
514565,1639090,9,32,+,1
514565,1637547,9,32,+,1
514565,86230133,9,32,+,1
514565,86230134,9,32,+,1
514565,86230125,9,32,+,1
514565,86230121,10,32,+,1
514565,86230127,10,32,+,1
514565,86230131,10,32,+,1
514565,86230130,10,32,+,1
514565,1634383,10,32,+,1
514565,1637541,10,32,+,1
514565,1637540,10,32,+,1
514565,1632811,10,32,+,1
514565,1639084,10,32,+,1
514565,1637616,10,32,+,1
514565,86230123,10,32,+,1
514565,86230139,10,32,+,1
514565,86230138,10,32,+,1
514565,1634386,10,32,+,1
514565,86230143,10,32,+,1
514565,86230154,10,32,+,1
514565,86230153,10,32,+,1
514565,86230144,10,32,+,1
514565,1632805,10,32,+,1
514565,1634421,10,32,+,1
514575,2202512,11,32,+,1
514575,86404476,11,32,+,1
514575,86404477,11,32,+,1
514575,2200964,12,32,+,1
514575,2200969,12,32,+,1
514565,86695183,13,32,+,1
514565,86695184,13,32,+,1
514565,91880196,14,32,+,1
514565,91880197,14,32,+,1
514565,1632849,14,32,+,1
514565,1629784,14,32,+,1
514565,1625110,15,32,-,1
514575,86404465,16,32,+,1
514575,2205582,16,32,+,1
